תקופה,עצמאי_מחזור,עצמאי_הוצאה_מוכרת,עצמאי_הכנסה_חייבת,עצמאי_מס_שולם,עצמאי_בלל_שולם,עצמאי_בלל_נדרש,חיפה_ברוטו,חיפה_מס_שולם,חיפה_ברוטו_לבול,חיפה_בלל_שולם,חינוך_ברוטו,חינוך_מס_שולם,חינוך_ברוטו_לבול,חינוך_בלל_שולם,קצבה_ברוטו,קצבה_מס_שולם,קצבה_ברוטו_לבול,קצבה_בלל_שולם
1-7/2026,224412,33220,191192,94298,13650,32026,227756,81992,145299,39492,69610,28954,69610,8249,184722,29661,223878,26440
8-12/2026,113800,15932,97868,41105,9750,16240,91646,41241,58466,7115,18210,6556,18210,2185,132125,21216,160132,18912
צפי שנתי,338212,49152,289060,135403,23400,48266,319402,123233,203765,46607,87820,35509,87820,10434,316847,50877,384010,45352
